exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,SHANGAR,540259,14.85,14.85,14.85,14.85,10510,EQ,14.85,14.15,NA,NA,NA,X,21,156073,NA
bse,2018-07-30,FLORACORP,540267,13.09,13.7,13.09,13.09,1724,EQ,13.09,13.77,NA,NA,NA,XT,10,22578,NA
bse,2018-07-30,DHANVARSHA,540268,41.7,41.7,41.7,41.7,2,EQ,41.7,39.75,NA,NA,NA,X,1,83,NA
bse,2018-07-30,PRICOLLTD,540293,73.5,74.6,72.95,73.15,12193,EQ,73.15,72.8,NA,NA,NA,B,140,895092,NA
bse,2018-07-30,JITFINFRA,540311,20.3,20.3,20.3,20.3,4229,EQ,20.3,19.35,NA,NA,NA,T,12,85848,NA
bse,2018-07-30,AXISE2GPG,540336,10.4,10.4,10.4,10.4,1421,EQ,10.4,10.4,NA,NA,NA,B,2,14778,NA
bse,2018-07-30,PARMAX,540359,20.25,20.25,20.25,20.25,1405,EQ,20.25,19.3,NA,NA,NA,XT,6,28451,NA
bse,2018-07-30,DANUBE,540361,2.83,2.83,2.83,2.83,1084,EQ,2.83,2.78,NA,NA,NA,XT,12,3067,NA
bse,2018-07-30,RADIOCITY,540366,307,315,304.9,311.6,1293,EQ,315,305.05,NA,NA,NA,B,157,403305,NA
bse,2018-07-30,DMART,540376,1569,1597.95,1563.55,1592.65,73499,EQ,1592.65,1567.7,NA,NA,NA,A,2768,116230128,NA
bse,2018-07-30,SMLT,540393,42,42.1,42,42.1,6000,EQ,42.1,42.15,NA,NA,NA,M,3,252300,NA
bse,2018-07-30,JDML,540394,38.5,38.5,38.5,38.5,6000,EQ,38.5,38,NA,NA,NA,M,1,231e3,NA
bse,2018-07-30,CHEMCRUX,540395,35.8,35.8,35.8,35.8,4000,EQ,35.8,34.1,NA,NA,NA,M,1,143200,NA
bse,2018-07-30,MANOMAY,540396,39.2,39.2,39.2,39.2,4000,EQ,39.2,39,NA,NA,NA,M,1,156800,NA
bse,2018-07-30,CLEDUCATE,540403,166,173,162.7,169.9,333,EQ,172,166,NA,NA,NA,B,31,56443,NA
bse,2018-07-30,PRIME,540404,100,100.45,95,100.45,39000,EQ,100.45,96.95,NA,NA,NA,M,8,3730850,NA
